# OVERVIEW
metric,FOAK (~1.6 MW),NOAK (~52 MW)
Net electricity (MW),1.59,51.82
Number of wells,2.0,8.0
Fixed charge rate (%),5.8,5.8
Utilization factor,0.85,0.85
Total CAPEX (MUSD),29.99,250.86
CAPEX ($/kW-net),18862.0,4841.0
Annual O&M (MUSD/yr),0.53,5.62
"Breakeven LCOE ($/MWh, GEOPHIRES)",191.6,52.3
LCOE check = (FCR·CAPEX+O&M)/MWh ($/MWh),191.69,52.27

# CAPITAL COSTS
line_item,unit,FOAK_MUSD,FOAK_pct_of_total,FOAK_LCOE_$/MWh,NOAK_MUSD,NOAK_pct_of_total,NOAK_LCOE_$/MWh
Exploration costs,MUSD,6.73,22.4,32.97,7.14,2.8,1.07
Drilling and completion costs,MUSD,14.78,49.3,72.41,63.57,25.3,9.56
Stimulation costs,MUSD,1.51,5.0,7.4,6.04,2.4,0.91
Surface power plant costs,MUSD,5.92,19.7,29.0,169.29,67.5,25.45
Field gathering system costs,MUSD,1.06,3.5,5.19,4.82,1.9,0.72
Total capital costs,MUSD,29.99,100.0,146.92,250.86,100.0,37.71

# OPERATING & MAINTENANCE COSTS
line_item,unit,FOAK_MUSD,FOAK_pct_of_total,FOAK_LCOE_$/MWh,NOAK_MUSD,NOAK_pct_of_total,NOAK_LCOE_$/MWh
Wellfield maintenance costs,MUSD/yr,0.22,41.5,18.58,1.24,22.1,3.21
Power plant maintenance costs,MUSD/yr,0.28,52.8,23.65,4.22,75.1,10.94
Water costs,MUSD/yr,0.02,3.8,1.69,0.16,2.8,0.41
Total operating and maintenance costs,MUSD/yr,0.53,100.0,44.77,5.62,100.0,14.57
